journee,date,adversaire,lieu
1,19 sept. 2026,Badminton Associatif Choletais,domicile
2,3 oct. 2026,Aix Université Club Badminton,exterieur
3,7 nov. 2026,Flume Ille Badminton,domicile
4,28 nov. 2026,Le Volant Airois,domicile
5,19 déc. 2026,ASPTT Strasbourg,exterieur
6,16 janv. 2027,Badminton Associatif Choletais,exterieur
7,30 janv. 2027,Aix Université Club Badminton,domicile
8,20 mars 2027,Flume Ille Badminton,exterieur
9,3 avr. 2027,Le Volant Airois,exterieur
10,17 avr. 2027,ASPTT Strasbourg,domicile
