nom,genre,nationalite,categorie,description,photo,lien
Delphine Delrue,F,FRA,Mixte,Championne d'Europe 2024 double mixte,media/top12/delphine.webp,https://bwfbadminton.com/player/70762/delphine-delrue
Estelle Van Leeuwen,F,GBR,Double D.,Vice-championne d'Europe 2026 mixte,media/top12/estelle.webp,https://bwfbadminton.com/player/59331/estelle-van-leeuwen
Eva Bouville,F,FRA,Double D.,Internationale française,media/top12/eva.webp,https://bwfbadminton.com/player/71349/marcus-ellis
Kaloyana Nalbantova,F,BUL,Simple D.,Championne d'Europe juniors 2022,media/top12/kaloyana.webp,https://bwfbadminton.com/player/87112/kaloyana-nalbantova
Michelle Li,F,CAN,Simple D.,Championne panaméricaine,media/top12/michelle.webp,https://bwfbadminton.com/player/84523/michelle-li
Enogat Roy,G,FRA,Double D.,Médaillé de bronze France 2026,media/top12/enogat.webp,https://bwfbadminton.com/player/85118/enogat-roy
Aymeric Tores,G,FRA,Double M.,Top 10 mondial double mixte,media/top12/aymeric.webp,https://bwfbadminton.com/player/80918/lauren-smith
Eloi Adam,G,FRA,Simple M.,Vice-champion d'Europe 2025,media/top12/eloi.webp,https://bwfbadminton.com/player/87403/eloi-adam
Jan Louda,G,CZE,Simple M.,Olympien Paris 2024,media/top12/jan.webp,https://bwfbadminton.com/player/61423/jan-louda
Kalle Koljonen,G,FIN,Simple M.,Premier Finlandais médaillé européen,media/top12/kalle.webp,https://bwfbadminton.com/player/59331/estelle-van-leeuwen
Léo Rossi,G,FRA,Simple M.,Vice-champion d'Europe 2025 double,media/top12/leo.webp,https://bwfbadminton.com/player/53753/hans-kristian-solberg-vittinghus
Magot,G,FRA,Simple M.,Compétiteur de l'effectif,,
Marcus Ellis,G,GBR,Double M.,Médaillé olympique · double,,https://bwfbadminton.com/player/71349/marcus-ellis
Sacha Leveque,G,FRA,Double M.,International français senior,media/top12/sacha.webp,https://bwfbadminton.com/player/86866/sacha-leveque
Tom Gicquel,G,FRA,Mixte,International français · double mixte,,https://bwfbadminton.com/player/85118/tom-gicquel
